Time, Frame, Distance, Depth, DisAvg, DisVar, DepthAvg, DepthVar, DisAvg0x, DisVar0x, DepthAvg0x, DepthVar0x

0.0169233, 1, 0.06557199, -0.04774509, 0.06557199, 0, -0.04774509, 0, 0.06557199, 0, -0.04774509, 0
0.0498683, 2, 0.06765553, -0.05143023, 0.06661376, 2.170585E-06, -0.04958766, 6.790098E-06, 0.06661376, 2.170585E-06, -0.04958766, 6.790098E-06
0.0749943, 3, 0.06978391, -0.04804367, 0.06767048, 4.435246E-06, -0.049073, 4.189685E-06, 0.06767048, 4.435246E-06, -0.049073, 4.189685E-06
0.0834416, 4, 0.07196747, -0.05095772, 0.06874473, 7.572863E-06, -0.04954418, 3.681174E-06, 0.06874473, 7.572863E-06, -0.04954418, 3.681174E-06
0.0920135, 5, 0.07302766, -0.05095772, 0.06960131, 9.348347E-06, -0.04982689, 3.160503E-06, 0.06960131, 9.348347E-06, -0.04982689, 3.160503E-06
0.1174157, 6, 0.07504576, -0.05032058, 0.07050872, 1.241902E-05, -0.04990917, 2.569025E-06, 0.07050872, 1.241902E-05, -0.04990917, 2.569025E-06
0.1333901, 7, 0.07687781, -0.05073449, 0.07141859, 1.614423E-05, -0.05002707, 2.238162E-06, 0.07141859, 1.614423E-05, -0.05002707, 2.238162E-06
0.1669194, 8, 0.07923709, -0.0496113, 0.0723959, 2.147903E-05, -0.0499751, 1.940033E-06, 0.0723959, 2.147903E-05, -0.0499751, 1.940033E-06
0.1841903, 9, 0.08062232, -0.05063048, 0.07330994, 2.631348E-05, -0.05004792, 1.745253E-06, 0.07330994, 2.631348E-05, -0.05004792, 1.745253E-06
0.2167243, 10, 0.08192725, -0.05063048, 0.07417168, 3.081556E-05, -0.05010618, 1.585274E-06, 0.07417168, 3.081556E-05, -0.05010618, 1.585274E-06
0.2431503, 11, 0.08399954, -0.05063048, 0.07506511, 3.651463E-05, -0.05015384, 1.451737E-06, 0.07506511, 3.651463E-05, -0.05015384, 1.451737E-06
0.2580648, 12, 0.08467638, -0.05061428, 0.07586605, 4.089315E-05, -0.05019221, 1.337428E-06, 0.07586605, 4.089315E-05, -0.05019221, 1.337428E-06
0.2915012, 13, 0.08678862, -0.05061428, 0.07670625, 4.666249E-05, -0.05022468, 1.239679E-06, 0.07670625, 4.666249E-05, -0.05022468, 1.239679E-06
0.3175123, 14, 0.08841509, -0.05022587, 0.0775426, 5.286568E-05, -0.05022476, 1.144319E-06, 0.0775426, 5.286568E-05, -0.05022476, 1.144319E-06
0.3256108, 15, 0.08934206, -0.05031048, 0.07832923, 5.837137E-05, -0.05023048, 1.063072E-06, 0.07832923, 5.837137E-05, -0.05023048, 1.063072E-06
0.333072, 16, 0.09124062, -0.05031048, 0.07913619, 6.489894E-05, -0.05023548, 9.926003E-07, 0.07913619, 6.489894E-05, -0.05023548, 9.926003E-07
0.3663454, 17, 0.0930138, -0.04925153, 0.07995252, 7.217147E-05, -0.0501776, 9.875134E-07, 0.07995252, 7.217147E-05, -0.0501776, 9.875134E-07
0.3926886, 18, 0.0955532, -0.05190957, 0.08081922, 8.144724E-05, -0.05027382, 1.096075E-06, 0.08081922, 8.144724E-05, -0.05027382, 1.096075E-06
0.4087231, 19, 0.0963525, -0.04677534, 0.08163676, 8.962148E-05, -0.05008969, 1.679358E-06, 0.08163676, 8.962148E-05, -0.05008969, 1.679358E-06
0.4417803, 20, 0.09805738, -0.04677534, 0.0824578, 9.838639E-05, -0.04992398, 2.140215E-06, 0.0824578, 9.838639E-05, -0.04992398, 2.140215E-06
0.4511494, 21, 0.09854347, -0.04677534, 0.08322378, 0.0001057884, -0.04977404, 2.505294E-06, 0.08322378, 0.0001057884, -0.04977404, 2.505294E-06
0.4579027, 22, 0.09883115, -0.04677534, 0.0839332, 0.0001118231, -0.04963773, 2.794729E-06, 0.0839332, 0.0001118231, -0.04963773, 2.794729E-06
0.4915055, 23, 0.09901491, -0.04677534, 0.08458893, 0.0001166298, -0.04951328, 3.023925E-06, 0.08458893, 0.0001166298, -0.04951328, 3.023925E-06
0.5244672, 24, 0.09913237, -0.04677534, 0.08519491, 0.0001203719, -0.0493992, 3.204796E-06, 0.08519491, 0.0001203719, -0.0493992, 3.204796E-06
0.5335934, 25, 0.09915616, -0.04677534, 0.08575335, 0.000123153, -0.04929425, 3.346649E-06, 0.08575335, 0.000123153, -0.04929425, 3.346649E-06
0.5416011, 26, 0.09948447, -0.04677534, 0.08628147, 0.0001254786, -0.04919737, 3.456817E-06, 0.08628147, 0.0001254786, -0.04919737, 3.456817E-06
0.5501562, 27, 0.09965193, -0.04677534, 0.08677667, 0.0001272735, -0.04910766, 3.541128E-06, 0.08677667, 0.0001272735, -0.04910766, 3.541128E-06
0.55768, 28, 0.09979945, -0.04677534, 0.08724177, 0.0001286166, -0.04902437, 3.604251E-06, 0.08724177, 0.0001286166, -0.04902437, 3.604251E-06
0.5915508, 29, 0.1001257, -0.05169871, 0.08768605, 0.0001297471, -0.04911658, 3.722154E-06, 0.08768605, 0.0001297471, -0.04911658, 3.722154E-06
0.6248572, 30, 0, 0, 0.08476318, 0.0003815679, -0.04747937, 8.400842E-05, 0.08768605, 0.0001297471, -0.04911658, 3.722154E-06
0.633786, 31, 0, 0, 0.08202888, 0.0006006166, -0.04594777, 0.0001539272, 0.08768605, 0.0001297471, -0.04911658, 3.722154E-06
0.6408587, 32, 0.1030047, -0.05026382, 0.08268438, 0.0005949914, -0.04608265, 0.0001495439, 0.08819667, 0.0001330951, -0.04915482, 3.637676E-06
0.6748806, 33, 0.1043845, -0.05026382, 0.08334196, 0.0005906675, -0.04620935, 0.0001454004, 0.08871886, 0.0001371117, -0.0491906, 3.556092E-06
0.7084087, 34, 0.1055571, -0.05026382, 0.08399535, 0.0005872836, -0.0463286, 0.0001414779, 0.08924506, 0.000141549, -0.04922414, 3.477376E-06
0.7414196, 35, 0.1062403, -0.05026382, 0.08463092, 0.0005841488, -0.04644104, 0.0001377592, 0.08976007, 0.0001458783, -0.04925565, 3.401462E-06
0.7499269, 36, 0.1068366, -0.05026382, 0.08524774, 0.0005811558, -0.04654723, 0.0001342291, 0.09026232, 0.0001500344, -0.0492853, 3.328284E-06
0.7579564, 37, 0.1071044, -0.05026382, 0.08583846, 0.0005779237, -0.04664768, 0.0001308739, 0.09074351, 0.000153726, -0.04931326, 3.25775E-06
0.7915314, 38, 0.1076625, -0.008509114, 0.08641277, 0.000574838, -0.04564403, 0.0001656144, 0.09121349, 0.0001572853, -0.04817981, 4.941405E-05
0.8254399, 39, 0.1079395, -0.01487958, 0.08696474, 0.0005715928, -0.0448552, 0.0001855241, 0.09166554, 0.0001604774, -0.0472798, 7.801183E-05
0.8445647, 40, 0.1082958, -0.01534541, 0.08749802, 0.000568312, -0.04411746, 0.0002025377, 0.09210318, 0.0001634182, -0.04643943, 0.0001027404
0.8993337, 41, 0.1091655, -0.02137268, 0.08802649, 0.0005655549, -0.04356271, 0.000210092, 0.09254067, 0.0001665824, -0.04579669, 0.000116148
0.9335464, 42, 0.1094486, -0.02154312, 0.08853655, 0.0005626872, -0.04303843, 0.0002165121, 0.09296338, 0.0001694579, -0.04519035, 0.0001278757
0.9669025, 43, 0.1099535, -0.02697843, 0.08903461, 0.0005599569, -0.04266495, 0.0002173552, 0.09337776, 0.0001722621, -0.04474616, 0.0001327684
1.000103, 44, 0.1105245, -0.01689774, 0.08952302, 0.0005574305, -0.04207933, 0.0002273902, 0.09378602, 0.0001750608, -0.0440831, 0.0001479953
1.033461, 45, 0.1108655, -0.03150876, 0.08999729, 0.0005548839, -0.04184442, 0.0002247053, 0.09418321, 0.0001776766, -0.04379068, 0.0001481486
1.042809, 46, 0.1113166, -0.03154248, 0.09046075, 0.0005524338, -0.04162047, 0.000222019, 0.09457261, 0.0001802162, -0.04351231, 0.0001481129
1.050274, 47, 0.1115963, -0.03154248, 0.09091044, 0.0005499289, -0.04140604, 0.0002193535, 0.09495091, 0.0001825606, -0.04324631, 0.0001479306
1.058875, 48, 0.1118684, -0.03526996, 0.09134707, 0.000547379, -0.04127821, 0.0002154708, 0.09531868, 0.0001847254, -0.04307291, 0.0001460263
1.066743, 49, 0.1123893, -0.03526996, 0.0917765, 0.0005450115, -0.04115559, 0.0002117186, 0.09568188, 0.0001869097, -0.04290689, 0.0001441473
1.076505, 50, 0.1126355, -0.03850992, 0.09219368, 0.0005425907, -0.04110268, 0.0002075377, 0.09603509, 0.000188921, -0.04281529, 0.0001414831
1.083928, 51, 0.1131058, -0.03850992, 0.09260372, 0.0005403139, -0.04105183, 0.0002035188, 0.09638347, 0.0001909323, -0.04272742, 0.0001389138
1.117158, 52, 0.1135387, -0.04124063, 0.09300632, 0.0005381478, -0.04105547, 0.0001995289, 0.09672657, 0.0001929217, -0.04269769, 0.000136123
1.125343, 53, 0.1138959, -0.04285064, 0.09340046, 0.0005360322, -0.04108934, 0.0001957526, 0.09706322, 0.0001948433, -0.04270069, 0.000133401
1.133097, 54, 0.1140437, -0.04285064, 0.09378275, 0.0005338099, -0.04112196, 0.0001921166, 0.09738977, 0.0001965679, -0.04270357, 0.0001307857
1.141537, 55, 0.1141917, -0.04285064, 0.09415381, 0.0005314976, -0.04115339, 0.0001886132, 0.09770679, 0.0001981142, -0.04270635, 0.0001282711
1.150516, 56, 0.1145134, -0.04285064, 0.09451737, 0.0005292362, -0.0411837, 0.0001852354, 0.09801802, 0.000199607, -0.04270902, 0.0001258512
1.18343, 57, 0.1148888, -0.04285064, 0.09487477, 0.000527066, -0.04121295, 0.0001819764, 0.09832476, 0.0002010855, -0.0427116, 0.0001235211
1.192014, 58, 0.1152796, -0.04285064, 0.09522658, 0.0005249978, -0.04124118, 0.0001788299, 0.09862752, 0.0002025627, -0.04271409, 0.0001212755
1.199679, 59, 0.115465, -0.04285064, 0.0955696, 0.0005228884, -0.04126846, 0.0001757907, 0.09892292, 0.0002039192, -0.04271648, 0.0001191102
1.233512, 60, 0.1159774, -0.03331724, 0.09590973, 0.0005209672, -0.04113595, 0.0001738648, 0.09921696, 0.0002053564, -0.04255443, 0.0001185437
1.243348, 61, 0.1161351, -0.03369848, 0.0962413, 0.0005189904, -0.04101402, 0.0001718739, 0.09950371, 0.000206667, -0.04240433, 0.0001178292
1.250042, 62, 0.1162935, -0.03369848, 0.09656472, 0.0005169677, -0.04089603, 0.0001699194, 0.09978354, 0.0002078625, -0.04225923, 0.0001170953
1.258323, 63, 0.1166515, -0.04362507, 0.09688356, 0.000515034, -0.04093935, 0.000167297, 0.1000601, 0.0002090626, -0.04228162, 0.0001151743
1.267542, 64, 0.1168432, -0.04362507, 0.09719542, 0.0005130837, -0.04098132, 0.0001647542, 0.1003308, 0.0002101784, -0.04230329, 0.0001133153
1.300006, 65, 0.1174148, -0.03446183, 0.09750649, 0.0005113563, -0.04088102, 0.0001628339, 0.1006019, 0.0002114212, -0.04217882, 0.0001124636
1.316523, 66, 0.1175925, -0.04493983, 0.09781083, 0.000509602, -0.04094251, 0.0001605783, 0.1008674, 0.0002125758, -0.04222196, 0.0001107976
1.341844, 67, 0.1181113, -0.03504112, 0.09811381, 0.0005080317, -0.04085443, 0.0001586652, 0.1011327, 0.0002138289, -0.04211149, 0.0001098597
1.358454, 68, 0.1182718, -0.03541483, 0.09841026, 0.0005064248, -0.04077443, 0.0001567322, 0.1013924, 0.00021499, -0.04201002, 0.000108849
1.383607, 69, 0.1187853, -0.03541483, 0.09870555, 0.000504994, -0.04069676, 0.0001548435, 0.101652, 0.0002162477, -0.04191159, 0.000107849
1.400001, 70, 0.1189481, -0.04044293, 0.09899472, 0.0005035289, -0.04069314, 0.0001526003, 0.1019063, 0.0002174195, -0.04189, 0.000106271
1.42546, 71, 0.1193939, -0.04044293, 0.09928203, 0.0005021967, -0.04068961, 0.0001504211, 0.1021598, 0.0002186542, -0.04186902, 0.0001047385
1.434444, 72, 0.1195314, -0.04044293, 0.09956328, 0.0005008183, -0.04068619, 0.0001483035, 0.1024079, 0.0002197964, -0.04184865, 0.0001032496
1.44145, 73, 0.1196578, -0.04044293, 0.09983855, 0.0004993938, -0.04068286, 0.0001462445, 0.1026509, 0.0002208473, -0.04182885, 0.0001018025
1.450281, 74, 0.1199864, -0.04044293, 0.1001108, 0.0004980385, -0.04067961, 0.000144242, 0.1028917, 0.0002219108, -0.0418096, 0.0001003953
1.458078, 75, 0.1201429, -0.04044293, 0.1003779, 0.0004966587, -0.04067646, 0.0001422935, 0.103128, 0.0002229054, -0.04179088, 9.902654E-05
1.46719, 76, 0.1203044, -0.04044293, 0.1006401, 0.0004952611, -0.04067339, 0.000140397, 0.1033601, 0.0002238388, -0.04177266, 9.769452E-05
1.474621, 77, 0.1207036, -0.04044293, 0.1009007, 0.0004939723, -0.04067039, 0.0001385503, 0.1035914, 0.0002248245, -0.04175493, 9.639792E-05
1.50812, 78, 0.1210836, -0.04044293, 0.1011594, 0.0004927795, -0.04066747, 0.0001367516, 0.1038215, 0.0002258529, -0.04173767, 9.513526E-05
1.51727, 79, 0.1214689, -0.04044293, 0.1014165, 0.0004916831, -0.04066463, 0.0001349991, 0.1040507, 0.0002269257, -0.04172086, 9.390527E-05
1.524775, 80, 0.1216649, -0.04044293, 0.1016696, 0.0004905841, -0.04066186, 0.0001332907, 0.1042765, 0.0002279563, -0.04170448, 9.270664E-05
1.558778, 81, 0.122208, -0.04044293, 0.1019232, 0.0004896597, -0.04065916, 0.0001316252, 0.1045035, 0.0002291039, -0.04168851, 9.153825E-05
1.591892, 82, 0.1225505, -0.04044293, 0.1021747, 0.0004888031, -0.04065652, 0.0001300008, 0.1047291, 0.0002302751, -0.04167294, 9.039895E-05
1.625504, 83, 0.123061, -0.04402663, 0.1024264, 0.0004880981, -0.04069713, 0.0001285522, 0.1049554, 0.0002315455, -0.04170199, 8.933731E-05
1.641653, 84, 0.1233773, -0.04402663, 0.1026758, 0.000487443, -0.04073676, 0.0001271355, 0.1051801, 0.0002328256, -0.04173034, 8.830029E-05
1.650171, 85, 0.123526, -0.04402663, 0.1029211, 0.0004867544, -0.04077547, 0.0001257493, 0.1054011, 0.0002340412, -0.04175801, 8.728702E-05
1.658265, 86, 0.1238066, -0.04402663, 0.1031639, 0.0004861002, -0.04081327, 0.0001243927, 0.1056202, 0.0002352544, -0.04178502, 8.629663E-05
1.667391, 87, 0.1239389, -0.04210187, 0.1034027, 0.0004854087, -0.04082808, 0.0001229653, 0.1058357, 0.0002364016, -0.04178874, 8.527052E-05
1.675251, 88, 0.1240657, -0.04210187, 0.1036375, 0.0004846812, -0.04084256, 0.0001215704, 0.1060477, 0.0002374848, -0.04179239, 8.426845E-05
1.683108, 89, 0.1243877, -0.04210187, 0.1038707, 0.0004840113, -0.04085671, 0.0001202068, 0.1062585, 0.0002385894, -0.04179594, 8.328964E-05
1.691683, 90, 0.1245411, -0.04210187, 0.1041004, 0.0004833202, -0.04087054, 0.0001188733, 0.1064663, 0.0002396454, -0.04179942, 8.23334E-05
1.700069, 91, 0.1246927, -0.04210187, 0.1043266, 0.0004826099, -0.04088407, 0.0001175692, 0.1066711, 0.0002406548, -0.04180282, 8.139878E-05
1.70889, 92, 0.1250266, -0.04210187, 0.1045517, 0.000481964, -0.04089731, 0.0001162934, 0.106875, 0.0002416943, -0.04180614, 8.048522E-05
1.741989, 93, 0.1253727, -0.03808816, 0.1047755, 0.000481387, -0.0408671, 0.0001151142, 0.1070783, 0.000242769, -0.04176528, 7.974282E-05
1.75827, 94, 0.1256793, -0.04524395, 0.1049979, 0.0004808591, -0.04091366, 0.0001140802, 0.1072805, 0.000243862, -0.04180309, 7.899808E-05
1.7921, 95, 0.1260774, -0.04524395, 0.1052198, 0.0004804209, -0.04095925, 0.0001130639, 0.1074826, 0.0002450105, -0.04184009, 7.826668E-05
1.808524, 96, 0.1263612, -0.04524395, 0.10544, 0.0004800196, -0.04100388, 0.000112065, 0.1076834, 0.0002461674, -0.0418763, 7.754838E-05
1.841339, 97, 0.1266694, -0.04326408, 0.1056589, 0.0004796657, -0.04102718, 0.0001109504, 0.1078833, 0.0002473431, -0.04189091, 7.674369E-05
1.849793, 98, 0.1268164, -0.04326408, 0.1058748, 0.0004792885, -0.04105001, 0.0001098576, 0.1080805, 0.0002484735, -0.04190521, 7.595548E-05
1.857944, 99, 0.1270928, -0.04326408, 0.1060891, 0.0004789453, -0.04107237, 0.000108786, 0.1082765, 0.0002496117, -0.04191922, 7.51833E-05
1.866474, 100, 0.1272232, -0.04326408, 0.1063004, 0.0004785739, -0.04109428, 0.0001077353, 0.1084698, 0.0002507014, -0.04193294, 7.44267E-05
1.874851, 101, 0.1274678, -0.04326408, 0.10651, 0.0004782243, -0.04111576, 0.0001067046, 0.1086617, 0.0002517889, -0.04194639, 7.368513E-05
1.884063, 102, 0.1275829, -0.04326408, 0.1067166, 0.000477843, -0.04113683, 0.0001056934, 0.1088509, 0.0002528257, -0.04195956, 7.295818E-05
1.891812, 103, 0.1276934, -0.04326408, 0.1069203, 0.0004774304, -0.04115748, 0.000104701, 0.1090375, 0.0002538126, -0.04197248, 7.224544E-05
1.900833, 104, 0.1279015, -0.04326408, 0.107122, 0.000477028, -0.04117773, 0.0001037272, 0.1092224, 0.0002547884, -0.04198514, 7.154655E-05
1.908516, 105, 0.1279994, -0.04326408, 0.1073208, 0.0004765924, -0.0411976, 0.0001027713, 0.1094047, 0.0002557135, -0.04199755, 7.086096E-05
1.916808, 106, 0.1281328, -0.04326408, 0.1075172, 0.0004761396, -0.04121709, 0.0001018329, 0.1095848, 0.0002566033, -0.04200973, 7.018843E-05
1.925223, 107, 0.1284367, -0.04326408, 0.1077127, 0.0004757375, -0.04123622, 0.0001009113, 0.1097644, 0.0002575207, -0.04202167, 6.952851E-05
1.93446, 108, 0.1286015, -0.04326408, 0.1079061, 0.0004753316, -0.041255, 0.0001000062, 0.1099421, 0.0002584156, -0.04203339, 6.888089E-05
1.941431, 109, 0.1289153, -0.04326408, 0.1080988, 0.0004749798, -0.04127343, 9.911735E-05, 0.1101194, 0.0002593421, -0.04204489, 6.824521E-05
1.950352, 110, 0.1290652, -0.04463227, 0.1082895, 0.0004746184, -0.04130396, 9.831053E-05, 0.1102948, 0.0002602419, -0.04206885, 6.766942E-05
1.958786, 111, 0.1292091, -0.04463227, 0.1084779, 0.0004742463, -0.04133395, 9.751652E-05, 0.1104684, 0.0002611143, -0.04209237, 6.710313E-05
