Time, Frame, Distance, Depth, DisAvg, DisVar, DepthAvg, DepthVar, DisAvg0x, DisVar0x, DepthAvg0x, DepthVar0x

0.0088649, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0178377, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0256693, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0332973, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0409804, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0494683, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.057488, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0666278, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0768922, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.08597019, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0950826, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1058317, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1149076, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1235728, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1327235, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1429128, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1524236, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1613382, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1704194, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1785295, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1866754, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1943999, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2028703, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2110118, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2186764, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2267508, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2348153, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2434824, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2528886, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.262765, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2708158, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2787326, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2866537, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2956717, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3044287, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3127255, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3211875, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3296468, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3379181, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3467174, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3546777, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3625195, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3717575, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3802361, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3888731, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3973545, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4052143, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4132797, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4210104, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.429582, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4376581, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4457208, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4534778, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4613509, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4702564, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.47873, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4874241, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.497366, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5066152, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5157587, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5270278, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5366016, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5463383, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5571805, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5688219, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5801772, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5916144, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.6018479, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.6110458, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.620561, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.6292363, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.637996, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.6473094, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.6564423, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.6655337, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.6750787, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.6848611, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.6949744, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7042711, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7129372, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7224481, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7331995, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7444841, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7551326, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7644349, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7735918, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7832143, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7937683, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8027421, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8105962, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8188764, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8284218, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8385239, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8475597, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8555673, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8643168, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8731804, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8811508, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8896604, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8991584, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.9075049, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.914926, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.9234043, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.9321437, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.9404674, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.9486222, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.9572451, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.96639, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.974916, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.9833335, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.9915656, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.000117, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.008934, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.017604, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.025602, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
