Time, Frame, Distance, Depth, DisAvg, DisVar, DepthAvg, DepthVar, DisAvg0x, DisVar0x, DepthAvg0x, DepthVar0x

0.0271629, 1, 0.0230206, -0.0611151, 0.0230206, 0, -0.0611151, 0, 0.0230206, 0, -0.0611151, 0
0.0467814, 2, 0.02205041, -0.0611151, 0.02253551, 4.706401E-07, -0.0611151, 0, 0.02253551, 4.706401E-07, -0.0611151, 0
0.0689215, 3, 0.02157017, -0.0611151, 0.02221373, 5.459436E-07, -0.0611151, 0, 0.02221373, 5.459436E-07, -0.0611151, 0
0.095812, 4, 0.02094425, -0.0611151, 0.02189636, 7.668559E-07, -0.0611151, 0, 0.02189636, 7.668559E-07, -0.0611151, 0
0.1285959, 5, 0.02024627, -0.06194641, 0.02156634, 1.119704E-06, -0.06128136, 1.382139E-07, 0.02156634, 1.119704E-06, -0.06128136, 1.382139E-07
0.1689656, 6, 0.01979039, -0.06194641, 0.02127035, 1.421429E-06, -0.0613922, 1.842852E-07, 0.02127035, 1.421429E-06, -0.0613922, 1.842852E-07
0.2084362, 7, 0.01894373, -0.06194641, 0.02093798, 1.957833E-06, -0.06147137, 1.974485E-07, 0.02093798, 1.957833E-06, -0.06147137, 1.974485E-07
0.2462703, 8, 0.02022577, -0.06194641, 0.02084895, 1.741546E-06, -0.06153075, 1.974485E-07, 0.02084895, 1.741546E-06, -0.06153075, 1.974485E-07
0.2814612, 9, 0.02154876, -0.06194641, 0.02092671, 1.578268E-06, -0.06157693, 1.919638E-07, 0.02092671, 1.578268E-06, -0.06157693, 1.919638E-07
0.316747, 10, 0.02163305, -0.06194641, 0.02099734, 1.452797E-06, -0.06161388, 1.842852E-07, 0.02099734, 1.452797E-06, -0.06161388, 1.842852E-07
0.3517672, 11, 0.02056837, -0.06194641, 0.02095835, 1.324246E-06, -0.0616441, 1.759087E-07, 0.02095835, 1.324246E-06, -0.0616441, 1.759087E-07
0.3835802, 12, 0.01859922, -0.06194641, 0.02076175, 1.667648E-06, -0.06166929, 1.67532E-07, 0.02076175, 1.667648E-06, -0.06166929, 1.67532E-07
0.4054496, 13, 0.01589639, -0.05465953, 0.02038749, 3.349576E-06, -0.06113008, 3.933335E-06, 0.02038749, 3.349576E-06, -0.06113008, 3.933335E-06
0.4392694, 14, 0.01420784, -0.05540356, 0.01994609, 5.819638E-06, -0.06072105, 5.97314E-06, 0.01994609, 5.819638E-06, -0.06072105, 5.97314E-06
0.4631091, 15, 0.01238587, -0.05323456, 0.01944208, 9.214412E-06, -0.06022195, 9.28299E-06, 0.01944208, 9.214412E-06, -0.06022195, 9.28299E-06
0.4828337, 16, 0.01196363, -0.05794181, 0.01897467, 1.209557E-05, -0.06007944, 8.989065E-06, 0.01897467, 1.209557E-05, -0.06007944, 8.989065E-06
0.5000126, 17, 0.01182521, -0.05339494, 0.01855412, 1.434634E-05, -0.05968623, 1.105563E-05, 0.01855412, 1.434634E-05, -0.05968623, 1.105563E-05
0.514894, 18, 0.0116293, -0.05374083, 0.0181694, 1.61665E-05, -0.05935593, 1.236908E-05, 0.0181694, 1.61665E-05, -0.05935593, 1.236908E-05
0.5295244, 19, 0.01151786, -0.05391617, 0.01781932, 1.759694E-05, -0.05906963, 1.323933E-05, 0.01781932, 1.759694E-05, -0.05906963, 1.323933E-05
0.5553641, 20, 0.0114346, -0.05399939, 0.01750009, 1.870902E-05, -0.05881612, 1.382789E-05, 0.01750009, 1.870902E-05, -0.05881612, 1.382789E-05
