Time, Frame, Distance, Depth, DisAvg, DisVar, DepthAvg, DepthVar, DisAvg0x, DisVar0x, DepthAvg0x, DepthVar0x

0.0163119, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0332359, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0499158, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.07720029, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1019951, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1161241, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.133123, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1495468, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1662755, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.184042, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2085507, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2328766, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2494951, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2663209, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2831023, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3091738, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3332006, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3495474, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3666679, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3917789, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4079694, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4251512, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4499969, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4751326, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4911346, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5079126, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5247476, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5495989, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5759985, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5914813, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.6083865, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.6247168, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.6507889, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.6757801, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7002007, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.716058, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7330623, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7589783, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7833979, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7997938, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.816801, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8335463, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8607003, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8842924, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8997194, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.9167346, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.9326845, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.9496315, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.9666214, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.9919388, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.017225, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.033552, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.049783, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.066041, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.083301, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.108671, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.124413, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.141167, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.15792, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.182489, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.200058, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.225263, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.24142, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.257944, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.274834, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.300454, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.324772, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.349633, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.366141, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.383007, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.399593, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.425778, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.451341, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.466133, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.486111, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.52805, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.550069, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
